Title,Ignored,Claimed,AppId,BundleId,Price,Description,StorePageUrl,Comments
Orwell: Keeping an Eye On You,,,,,,,,
Outlast 2,,,,,,,,
Overcooked,,,,,,,,
Overgrowth,,,,,,,,
Overgrowth,,,,,,,,
Overgrowth,,,,,,,,
Overgrowth,,,,,,,,
Overlord II,,,,,,,,
Oxenfree,,,,,,,,
Papo & Yo,,,,,,,,
Paradigm,,,,,,,,
Paratopic,,,,,,,,
Pathologic Classic HD,,,,,,,,
PAYDAY 2,,,,,,,,
Pill Baby,,,,,,,,
Pirate Pop Plus,,,,,,,,
Pitiri 1977,,,,,,,,
Plague Inc: Evolved,,,,,,,,
Planet of the Eyes,,,,,,,,
Planet of the Eyes,,,,,,,,
Planet TD,,,,,,,,
Planetary Annihilation TITANS,,,,,,,,
Plunge,,,,,,,,
Poker Night 2,,,234710,,4.99,,,No longer listed for sale. Price from SteamDB.
Poker Night at the Inventory,,,31280,,4.99,,,No longer listed for sale. Price from SteamDB.
Poly Bridge,,,,,,,,
Pool Panic,,,,,,,,
Portal Knights,,,,,,,,
Portal Knights,,,,,,,,
Potatoman Seeks the Troof,,,,,,,,
Primal Carnage: Extinction,,,,,,,,
Project CARS,,,234630,,4.99,,,No longer listed for sale; replaced by a newer version.
Project CARS 2,,,378860,,4.99,,,No longer listed for sale; replaced by a newer version.
Project Chemistry,,,,,,,,
Project Highrise,,,,,,,,
Proteus,,,,,,,,
Prototype,,,,,,,,
"Psychonauts, Stacking, and Costume Quest",,,,,29.97,"Includes <a href=""https://store.steampowered.com/app/3830"">Psychonauts</a>, <a href=""https://store.steampowered.com/app/115110"">Stacking</a>, and <a href=""https://store.steampowered.com/app/115100"">Costume Quest</a>.",,"Combined price: Psychonauts ($9.99), Stacking ($9.99), and Costume Quest ($9.99)."
Puzzle Agent,,,,,,,,
Puzzle Agent 2,,,,,,,,
Q.U.B.E: Director's Cut,,,,,,,,
Q.U.B.E. 2,,,,,,,,
Quadrata,,TRUE,,,,,,
"Quake Champions Early Access plus 50 Shards, 100 Platinum, 2000 Favor",,,611500,,,,,
Rain World,,,,,,,,
Rampage Knights,,,,,,,,
Random Access Murder,,,,,,,,
Rapture Rejects,,,686600,,0.99,,,No longer listed for sale; abandoned early access game.
"Rapture Rejects - Humble Exclusive ""Safari Outfit"" DLC",,,-1,,0.99,,,No longer listed for sale; abandoned early access game.
Really Big Sky,,,,,,,,
Realpolitiks,,,,,,,,
Rebel Galaxy,,,,,,,,
Red Faction Guerrilla Re-Mars-tered,,,,,,,,
Red Faction: Armageddon Path to War DLC,,,55115,,,,,
Regions of Ruin,,,,,,,,
Regular Human Basketball,,,,,,,,
Regular Human Basketball,,,,,,,,
Remnants of Isolation,,,,,,,,
Remnants of Naezith,,,,,,,,
Renowned Explorers: International Society,,,,,,,,
Resident Evil 5 Gold Edition,,,,62118,,,,
Resident Evil Revelations,,,,,,,,
Retro Game Crunch,,,,,,,,
Reus,,,,,,,,
Rising Storm 2: Vietnam + 2 DLCs,,,418460,,,,,
Rituals,,,,,,,,
Rivals of Aether,,,,,,,,
"RIVE: Wreck, Hack, Die, Retry",,,,,,,,
Road Redemption,,,,,,,,
Robot Roller-Derby Disco Dodgeball,,,,,,,,
Rocket Birds: Hardboiled Chicken,,,,,,,,
Rocketbirds: Hardboiled Chicken,,,,,,,,
ROCKETSROCKETSROCKETS,,,289760,,,,,
RPG Maker: Luna Engine,,,325504,,,,,
RPG Maker: VX Ace Deluxe,,,220700,,,,,
RUINER,,,,,,,,
Running with Rifles,,,,,,,,
